#Moon CP, Fleming KG. Side-chain hydrophobicity scale derived from transmembrane protein folding into lipid bilayers. Proc Natl Acad Sci U S A. 2011 Jun 21;108(25):10174-7. doi: 10.1073/pnas.1103979108. (kcal/mol) center Asp & Glu protonated
#resid pH OmpLA std_err
ALA 3.8 0 0 
CYS 3.8 0.49 0.15
ASP 3.8 2.95 0.18
GLU 3.8 1.64 0.12
PHE 3.8 -2.20 0.27
GLY 3.8 1.72 0.12
HIS 3.8 4.76 0.26
ILE 3.8 -1.56 0.35
LYS 3.8 5.39 0.52
LEU 3.8 -1.81 0.13
MET 3.8 -0.76 0.19
ASN 3.8 3.47 0.28
PRO 3.8 -1.52 0.12
GLN 3.8 3.01 0.11
ARG 3.8 3.71 0.13
SER 3.8 1.83 0.22
THR 3.8 1.78 0.34
VAL 3.8 -0.78 0.28
TRP 3.8 -0.38 0.21
TYR 3.8 -1.09 0.12
